name,geometry,lat,lon
The Lounge,POINT (73.0111877 33.7170618),33.7170618,73.0111877
Dragon City Chinese,POINT (73.0585112 33.7106538),33.7106538,73.0585112
Domino's Pizza,POINT (73.0593078 33.7110768),33.7110768,73.0593078
Wang Fu,POINT (73.0594997 33.7109178),33.7109178,73.0594997
Jahangir Restaurant,POINT (73.0610957 33.7121005),33.7121005,73.0610957
Red Onion,POINT (73.061267 33.7121982),33.7121982,73.061267
Karachi Restaurant,POINT (73.0623767 33.712023),33.712023,73.0623767
Italian Pizza,POINT (73.0685093 33.7153099),33.7153099,73.0685093
Hotel Blue Sky,POINT (73.0676033 33.7066071),33.7066071,73.0676033
Oshal Restaurant,POINT (73.0688853 33.7068844),33.7068844,73.0688853
Taste and Take,POINT (73.0678723 33.704967),33.704967,73.0678723
Madina Restaurant,POINT (73.0676948 33.7052156),33.7052156,73.0676948
Food Street,POINT (73.069478 33.705164),33.705164,73.069478
Hungers Hut,POINT (73.0734845 33.7054761),33.7054761,73.0734845
Hotel Al-Umar & Restaurant,POINT (73.072011 33.7034937),33.7034937,73.072011
Lassi Dhaba,POINT (73.07178 33.703386),33.703386,73.07178
عباسی ریستوراں,POINT (73.0710786 33.6991011),33.6991011,73.0710786
Murshid Ji Restaurant,POINT (73.0695135 33.6982509),33.6982509,73.0695135
New Bukhara Restaurant,POINT (73.0492768 33.6967306),33.6967306,73.0492768
Abbasi Restaurant,POINT (73.0497192 33.6972047),33.6972047,73.0497192
Lavish Dine,POINT (73.0481392 33.6989125),33.6989125,73.0481392
Kabuli Restaurant,POINT (73.0480365 33.6988713),33.6988713,73.0480365
Shah G Foods,POINT (73.0495761 33.6993365),33.6993365,73.0495761
Raja Resturant,POINT (73.0541399 33.6896327),33.6896327,73.0541399
Ali Restaurant,POINT (73.0576695 33.692562),33.692562,73.0576695
Kandahar restaurant,POINT (73.073303 33.6674075),33.6674075,73.073303
Haleem Ghar,POINT (73.0575666 33.7101662),33.7101662,73.0575666
al ghazal restaurant,POINT (73.0371591 33.6468411),33.6468411,73.0371591
Royal Elephant Thai Restaurant,POINT (73.0868684 33.73241),33.73241,73.0868684
New Al Madina Shenwari Tikka & BBQ Jhangi Syedan,POINT (72.9513135 33.6236974),33.6236974,72.9513135
Tanoor,POINT (73.1710833 33.5348796),33.5348796,73.1710833
Pizza Shop & Fried Chicken,POINT (73.0526834 33.7123089),33.7123089,73.0526834
Ali Hotel and Restaurant,POINT (73.1968426 33.4816074),33.4816074,73.1968426
Epic Fish and Shinwari,POINT (72.9784558 33.645394),33.645394,72.9784558
Chattha's,POINT (72.9996804 33.6908182),33.6908182,72.9996804
Royal Biryani House,POINT (72.9715403 33.6508812),33.6508812,72.9715403
Hot N Spicy,POINT (72.9711417 33.6502398),33.6502398,72.9711417
Awami Resturant,POINT (72.9708979 33.6504572),33.6504572,72.9708979
4 Season Foods,POINT (72.9708299 33.6500266),33.6500266,72.9708299
Naan Village,POINT (72.9640507 33.6452551),33.6452551,72.9640507
Biryani Center,POINT (72.964018 33.6453578),33.6453578,72.964018
Masala Rasoi Resturant,POINT (72.963704 33.6450705),33.6450705,72.963704
Bismillah Naan Center,POINT (72.9635471 33.6451517),33.6451517,72.9635471
Lala Ayub Khokha,POINT (73.0080422 33.6678868),33.6678868,73.0080422
Haseeb Hotel,POINT (73.00701 33.6683407),33.6683407,73.00701
Dastarkhawan Fesabil Allah,POINT (73.0003394 33.678356),33.678356,73.0003394
Karachi Eman Biryani,POINT (72.9999623 33.6689128),33.6689128,72.9999623
Silver Bistro,POINT (72.9967649 33.6682465),33.6682465,72.9967649
Mansoor Restaurant,POINT (72.9988429 33.6700612),33.6700612,72.9988429
Bannu Gull,POINT (72.9972464 33.6680461),33.6680461,72.9972464
Bismillah Shinwari Restaurant & BBQ,POINT (72.9979106 33.6671348),33.6671348,72.9979106
Hot n Spicy Chinese Cuisine,POINT (72.9977943 33.6689635),33.6689635,72.9977943
Zeeshan,POINT (72.9974215 33.667498),33.667498,72.9974215
Eat n Shake,POINT (72.9980387 33.6679811),33.6679811,72.9980387
Hakka Bakka Chinese Takeaway,POINT (73.0150979 33.6738514),33.6738514,73.0150979
Rang Mahal,POINT (73.017076 33.6765444),33.6765444,73.017076
Shah Ji,POINT (73.0160172 33.6756531),33.6756531,73.0160172
Capital Delights,POINT (73.0112652 33.6692891),33.6692891,73.0112652
Zaika Des Des Ka,POINT (73.0123233 33.6699164),33.6699164,73.0123233
Al-Inaab Lebenese Kitchen,POINT (73.0140455 33.675314),33.675314,73.0140455
