grid_id,num_pois,total_road_length,total_buildings,building_terrace,building_apartments,building_commercial,building_construction,building_house,building_residential,building_hut,building_mosque,building_university,building_school,building_industrial,building_retail,building_hospital,building_office,building_supermarket,building_bus_station,building_encroachment,building_college,building_farm_auxiliary,building_farm,building_shed,building_carport,building_public,building_roof,building_detached,building_semidetached_house,building_grandstand,building_hotel,building_PID_Press_Office,building_gazebo,building_stadium,building_hangar,building_no,building_church,building_embassy,building_garages,building_parking,building_offices,building_transportation,building_warehouse,building_barn,building_bunker,building_train_station,building_garage
203,1,21156.93809261311,3,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,0,7574.607629081815,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,0,809.0468778850687,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,0,24.130529737546606,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,0,27048.015302148764,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,0,34899.40487472022,122,,,,,122.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,0,21011.14365707577,62,,,,,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,4,8351.37091948505,2,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,0,5798.407076050615,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
