place_id,name,lat,lon,rating,user_ratings_total,types
ChIJIZSbbjOX3zgRYj54TS_5_iY,Syed Veterinary Medical Store And Pets Care,33.6610715,72.95807669999999,4.0,4.0,"pharmacy, veterinary_care, hospital, health, point_of_interest, store, establishment"
ChIJQeqXLz-X3zgRw_vJETYO4U4,Homeopathic Clinic,33.6597447,72.95871749999999,5.0,1.0,"drugstore, pharmacy, health, point_of_interest, store, establishment"
ChIJbYNb3r-93zgReHcnRE4efBQ,The Ideal Veterinary medical store,33.675193,72.9516939,4.8,6.0,"pharmacy, veterinary_care, health, point_of_interest, store, establishment"
ChIJM2Bo5dq93zgRqYIzcR6Ivtk,Jahanzaib pharmacy,33.6741483,72.9497763,5.0,1.0,"pharmacy, health, point_of_interest, store, establishment"
ChIJ6zozIQC93zgRunn5VV8UiEc,Fazal-e-Rabi veterinary medical store and pet center,33.6726718,72.94833919999999,5.0,3.0,"pharmacy, veterinary_care, health, point_of_interest, store, establishment"
ChIJdQp-HH-93zgR2paMdoJyqzw,Hassan medicul store,33.6874358,72.95458769999999,,,"pharmacy, health, point_of_interest, store, establishment"
ChIJrw2KYAC93zgRfn_UsFV4HkI,Quick Care Pharmacy,33.7028985,72.94879540000001,4.6,9.0,"pharmacy, point_of_interest, store, health, establishment"
ChIJKVUwKACR3zgRD5zXtycTbi4,Moin pharmacy and clinics,33.5360269,72.9762224,5.0,4.0,"pharmacy, point_of_interest, health, store, establishment"
ChIJuU3NIkOR3zgRr5iFG_8JI_0,Madina Medical Store,33.56334759999999,72.97889169999999,4.5,12.0,"pharmacy, point_of_interest, store, health, establishment"
ChIJ-dLrHAGR3zgRCI02SiGnWTw,Hassan Medicose (حسن میڈیکوز),33.5632062,72.97496389999999,4.0,1.0,"pharmacy, point_of_interest, store, health, establishment"
ChIJ83fV3ryT3zgRAEux6MMrJjY,Qureshi Traders,33.5623639,72.9734829,,,"pharmacy, point_of_interest, store, health, establishment"
ChIJc-H8YTyX3zgRHyPTxrPKVek,Haris pharmacy and cosmetics,33.5866152,72.9811695,,,"pharmacy, health, store, point_of_interest, establishment"
ChIJQ3GFhyCX3zgR_TAOkwOIN50,Khwaja chemist,33.58700890000001,72.9818181,5.0,1.0,"pharmacy, health, store, point_of_interest, establishment"
ChIJ9asGUgCX3zgRYwepjcHWgSo,Ali Medical Store,33.58831,72.98350169999999,5.0,1.0,"pharmacy, health, store, point_of_interest, establishment"
ChIJn4jXkB2X3zgRRSGiqXEsID8,Nadeem Pharmacy & Cosmetics,33.5930181,72.97695089999999,3.3,3.0,"pharmacy, health, store, point_of_interest, establishment"
ChIJiScBcK6W3zgRD2aAzkkf23Y,Fazal-e-Rabi Vets And Pets Clinic,33.5883847,72.9837026,4.4,69.0,"pharmacy, veterinary_care, health, store, point_of_interest, establishment"
ChIJ1eGuRzGX3zgRD5lNsAdvXrg,Redline Pharmacy,33.5884848,72.9845551,,,"pharmacy, health, store, point_of_interest, establishment"
ChIJBx3o94WX3zgRk3zsLBQWEy4,Malikabad purana chakra road near dar e arqam school rawalpindi,33.58955420000001,72.9859609,5.0,1.0,"pharmacy, health, store, point_of_interest, establishment"
ChIJdcjp9DyX3zgRSPUqZvuKJYc,Green pharmacy,33.5955319,72.97759529999999,4.2,29.0,"pharmacy, health, store, point_of_interest, establishment"
ChIJhUijYwCX3zgRCPdtuGwkrf4,Blue pharmacy,33.5958123,72.97585049999999,,,"pharmacy, health, store, point_of_interest, establishment"
ChIJr6OCR-CX3zgRZEpSNqvAmSU,Radiant Homeopathy Care,33.5961178,72.9788899,1.0,1.0,"pharmacy, drugstore, health, store, point_of_interest, establishment"
